Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANL-2431,286748,,Закрыт,29.03.2024 16:49 ,05.04.2024 14:57 ,nikishinpa,5.0,MBO- Агрегация категорий и источников данных,nikishinpa
ANL-2170,266896,,Backlog,14.12.2023 14:59 ,04.04.2024 16:35 ,mikhaelyanta,,Корректировка ЭР,mikhaelyanta
ANL-2437,287086,,Готово,01.04.2024 16:35 ,03.04.2024 15:49 ,mikhaelyanta,2.0,Сформировать отчет ВТБ СМБ по марту,mikhaelyanta
ANL-2014,254147,,Готово,18.10.2023 12:34 ,03.04.2024 09:56 ,flerinvs,,Добавить информацию о сделках с занижением,beseliarg
ANL-2094,261460,,Готово,20.11.2023 15:35 ,03.04.2024 09:56 ,flerinvs,3.0,Отнести сделки с занижением к сегменту АНЧ в когнос,beseliarg
ANL-2407,285503,,Backlog,25.03.2024 17:51 ,02.04.2024 21:37 ,mikhaelyanta,,Описание бизнес-логики отчетов ЭР,mikhaelyanta
ANL-2363,280989,,Hold,04.03.2024 12:04 ,02.04.2024 14:18 ,balitskayaav,1.0,Пофиксить проблему с датой списания дс со счета в простыне СБР,balitskayaav
ANL-2376,282068,,Hold,07.03.2024 14:56 ,02.04.2024 14:18 ,nikishinpa,3.0,Предоставить список ретро отчетов по прошлым годам,nikishinpa
ANL-2420,286024,,Backlog,27.03.2024 11:32 ,02.04.2024 14:17 ,balitskayaav,,Создание дашборда по основным метрикам КС,balitskayaav
ANL-2308,275809,,Готово,06.02.2024 16:46 ,01.04.2024 12:33 ,flerinvs,5.0,Правки по отчету по чатам для ВТБ,konstantinovada
ANL-2182,266993,,Готово,14.12.2023 20:02 ,01.04.2024 12:33 ,flerinvs,3.0,Отчет по качеству ответов чат бота (сгенерированные ответы),zhuravlevaev
ANL-2428,286581,,Закрыт,29.03.2024 10:34 ,29.03.2024 18:33 ,balitskayaav,,Мэтчинг сделок ЭР с ВТБ ,balitskayaav
ANL-2385,283308,,Hold,14.03.2024 13:09 ,29.03.2024 18:31 ,balitskayaav,5.0,Сделки амбассадоров М2,pichuginaaz
ANL-2401,285024,,Готово,22.03.2024 12:32 ,29.03.2024 13:38 ,mikhaelyanta,5.0,"Подготовить отчет по неипотечным сделкам ЭР в разрезе целевых действий, по которым мы определяем, что это сделка ВТБ и какой в ней менеджер ВТБ",SytnikTI
ANL-2400,284991,,Готово,22.03.2024 11:42 ,29.03.2024 11:30 ,nikishinpa,5.0,Сверка данных отчета и источников продукта в неипотеке,nikishinpa
